SymbolID,QuoteDT,Open,Volume
2649,20180907,10,190214
2649,20180910,10.25,121648
2649,20180911,10.17,197323
2649,20180912,9.89,199343
2649,20180913,9.71,154685
2649,20180914,9.61,239811
2649,20180917,9.41,286055
2649,20180918,9.36,199767
2649,20180919,9.46,155946
2649,20180920,9.68,277242
2805,20180817,17.25,378006
2805,20180820,17.31,279719
2805,20180821,17.19,535343
2805,20180822,17.52,1388222
2805,20180823,20.18,872427
2805,20180824,20.3,861223
2805,20180827,21.2,688623
2805,20180828,21.6,434696
2805,20180829,21.66,578579
2805,20180830,22.94,740600
2805,20180831,23.05,764257
2805,20180904,24.11,927206
2805,20180905,24.9,896445
2805,20180906,25,1510635
2805,20180907,25.16,635209
2805,20180910,25.66,734727
2805,20180911,27.19,1068587
2805,20180912,24.83,647924
2805,20180913,25.98,547179
2805,20180914,25.35,626825
2805,20180917,26.16,708296
2805,20180918,26.24,555035
2805,20180919,27.08,723970
2805,20180920,26.09,557284
3306,20180817,6.96,139583
3306,20180820,6.76,192878
3306,20180821,6.61,200990
3306,20180822,6.7,274321
3306,20180823,6.76,141919
3306,20180824,6.52,261155
3306,20180827,6.78,200234
3306,20180828,6.65,211843
3306,20180829,6.59,749299
3306,20180830,6.56,662935
3306,20180831,6.97,336868
3306,20180904,6.8,518681
3306,20180905,6.94,162570
3306,20180906,6.83,172535
3306,20180907,6.62,80809
3306,20180910,6.67,112127
3306,20180911,6.53,705053
3306,20180912,6.35,375196
3306,20180913,6.49,445653
3306,20180914,6.66,209193
3306,20180917,6.57,219065
3306,20180918,6.35,131267
3306,20180919,6.29,307399
3306,20180920,6.49,241239
3575,20180817,26.31,458775
3575,20180820,25.66,185761
3575,20180821,25.48,215508
3575,20180822,25.86,129121
3575,20180823,26.36,259339
3575,20180824,26.71,396527
3575,20180827,27,309916
3575,20180828,28.53,234395
3575,20180829,28.91,364898
3575,20180830,30.42,289205
3575,20180831,29.61,319410
3575,20180904,28.33,561007
3575,20180905,26.31,254495
3575,20180906,24.9,474719
3575,20180907,24.55,3609093
3575,20180910,20.27,1297890
3575,20180911,19.25,1000132
3575,20180912,18.35,1911648
3575,20180913,18.1,738236
3575,20180914,18.6,872389
3575,20180917,17.45,718118
3680,20180817,7.41,19122
3680,20180820,7.405,21799
3680,20180821,7.5,51839
3680,20180822,7.44,38261
3680,20180823,7.38,468848
3680,20180824,7.3,358978
3680,20180827,7.31,19680
3680,20180828,7.34,184932
3680,20180829,7.34,15508
3680,20180830,7.41,166856
3680,20180831,7.51,24830
3680,20180904,7.34,27142
3680,20180905,7.39,52308
3680,20180906,7.86,68106
3680,20180907,7.6999,10300
3680,20180910,7.804,52803
3680,20180911,7.725,59526
3680,20180912,7.59,26969
3680,20180913,7.6,20769
3680,20180914,7.46,22829
3680,20180917,7.65,36274
3680,20180918,7.85,72610
3680,20180919,7.81,32389
3680,20180920,7.9,42877
3712,20180817,44.86,1016050
3712,20180820,45.44,803639
3712,20180821,44.95,3966549
3712,20180822,45.75,2917436
3712,20180823,46.07,1171323
3712,20180824,46.44,782628
3712,20180827,47.09,1171237
3712,20180828,47.07,1586978
3712,20180829,45.57,1479566
3712,20180830,46.75,1168071
3712,20180831,45.84,1047563
3712,20180904,47.78,1577673
3712,20180905,47.27,1216258
3712,20180906,45.39,1190591
3712,20180907,44.77,725520
3712,20180910,45.41,1687521
3712,20180911,45.2,2481280
3712,20180912,43.12,1710192
3712,20180913,43.79,977069
3712,20180914,42.48,1558749
3712,20180917,42.14,2177212
3712,20180918,39.89,2361720
3712,20180919,40.56,1802522
3712,20180920,40.97,1249789
3990,20180817,34,95846
3990,20180820,34.05,101444
3990,20180821,34.2,130596
3990,20180822,33.2,153476
3990,20180823,34.5,145311
3990,20180824,33.75,162095
3990,20180827,33.75,125398
3990,20180828,34,150592
3990,20180829,33.4,166914
3990,20180830,32.15,214587
3990,20180831,32.15,217711
3990,20180904,34.05,181067
3990,20180905,33.9,116212
3990,20180906,32.55,178133
3990,20180907,32,114406
3990,20180910,31.8,106247
3990,20180911,31.2,142433
3990,20180912,31.45,116154
3990,20180913,31.8,96850
3990,20180914,31.6,163553
3990,20180917,31.5,140062
3990,20180918,30.9,95080
3990,20180919,30.8,108604
3990,20180920,30.75,127295
4132,20180817,12.37,324933
4132,20180820,13.02,162638
4132,20180821,12.98,178285
4132,20180822,13.39,129350
4132,20180823,13.35,196667
4132,20180824,13.51,219778
4132,20180827,14,217945
4132,20180828,14.1,236806
4132,20180829,14.25,137332
4132,20180830,13.97,302330
4132,20180831,14.2,175133
4132,20180904,14.25,230152
4132,20180905,14.03,203375
4132,20180906,14.13,146936
4132,20180907,14.08,211929
4132,20180910,14.55,198708
4132,20180911,14.39,214100
4132,20180912,13.39,466137
4132,20180913,13.07,216418
4132,20180914,12.55,155234
4132,20180917,12.58,169189
4132,20180918,12.24,258176
4132,20180919,12.5,417178
4132,20180920,12.3,194092
4343,20180817,20.87,7224086
4343,20180820,21.08,3608287
4343,20180821,20.78,4759136
4343,20180822,20.9,4135353
4343,20180823,20.97,4945375
4343,20180824,21.24,4808988
4343,20180827,22.35,5575455
4343,20180828,22.9,5250321
4343,20180829,22.86,5798244
4343,20180830,22.27,5452883
4343,20180831,21.36,4834206
4343,20180904,23.07,8780227
4343,20180905,23.46,4789631
4343,20180906,24.35,5942105
4343,20180907,25.14,3712332
4343,20180910,25.32,3797088
4343,20180911,24.19,3091152
4343,20180912,22.69,3771313
4343,20180913,23.18,4486119
4343,20180914,24.63,4223685
4343,20180917,24.63,4383014
4343,20180918,23.81,11678782
4343,20180919,21.44,7115622
4343,20180920,21.15,13167411
5039,20180817,14.1,268192
5039,20180820,14.35,380522
5039,20180821,13.7,322571
5039,20180822,13.7,164305
5039,20180823,13.75,297908
5039,20180824,13.8,267278
5039,20180827,13.8,209569
5039,20180828,14.05,462951
5039,20180829,14.55,637315
5039,20180830,15.3,453432
5039,20180831,15,448258
5039,20180904,14.3,485393
5039,20180905,13.9,613803
5039,20180906,13.15,489327
5039,20180907,10.45,3156934
5039,20180910,8.95,1446211
5039,20180911,8,953727
5039,20180912,7.9,684856
5039,20180913,7.45,826716
5039,20180914,7.65,845397
5039,20180917,8,556512
5039,20180918,7.6,417026
5039,20180919,7.5,441048
5039,20180920,7.4,345743
5751,20180817,25.35,202067
5751,20180820,25.2,174713
5751,20180821,25,273504
5751,20180822,26,163214
5751,20180823,25.41,145452
5751,20180824,24.85,158677
5751,20180827,26.27,3073088
5751,20180828,23.68,2033510
5751,20180829,23.18,1101326
5751,20180830,23.97,579435
5751,20180831,23.21,1379450
5751,20180904,22.86,262398
5751,20180905,24,292542
5751,20180906,24.53,243628
5751,20180907,24.77,198651
5751,20180910,24.94,165856
5751,20180911,25.45,168926
5751,20180912,26.42,261790
5751,20180913,27.5,196703
5751,20180914,27.75,306329
5751,20180917,25.21,286503
5751,20180918,25.91,174989
5751,20180919,26.69,169230
5751,20180920,27.16,366480
6989,20180817,14.38,1167440
6989,20180820,14.64,261707
6989,20180821,15.38,384935
6989,20180822,15.78,224760
6989,20180823,15.79,212661
6989,20180824,15.29,237769
6989,20180827,15.25,209781
6989,20180828,15.45,155382
6989,20180829,15.34,202008
6989,20180830,15,239622
6989,20180831,14.93,155163
6989,20180904,14.68,177976
6989,20180905,15.18,156681
6989,20180906,15.21,178517
6989,20180907,14.71,179634
6989,20180910,14.43,177933
6989,20180911,14,254073
6989,20180912,14.8,139015
6989,20180913,14.19,209499
6989,20180914,14.25,249902
6989,20180917,13.85,278717
6989,20180918,13.97,203037
